substanceBXH,gene_symbol
FOLH1B,FOLH1B
FOSL2,FOSL2
FOXB1,FOXB1
FOXB2,FOXB2
FOXD1,FOXD1
FOXE3,FOXE3
FOXI3,FOXI3
FOXN1,FOXN1
FOXRED2,FOXRED2
FOXS1,FOXS1
FRAT1,FRAT1
FRAT2,FRAT2
FREM2,FREM2
FRRS1,FRRS1
FST,FST
FSTL3,FSTL3
FSTL4,FSTL4
FTMT,FTMT
FTSJ2,FTSJ2
FTSJD2,FTSJD2
FUK,FUK
FUS,FUS
FUT2,FUT2
FUT8,FUT8
FXR1,FXR1
FXYD6,FXYD6
FXYD7,FXYD7
FZD5,FZD5
G6PC3,G6PC3
GABARAPL1,GABARAPL1
GABARAPL2,GABARAPL2
GABRP,GABRP
GAD1,GAD1
GAGE1,GAGE1
GAGE7,GAGE7
GALC,GALC
GALNT11,GALNT11
GALNT14,GALNT14
GALR3,GALR3
GAMT,GAMT
GAPT,GAPT
GATA1,GATA1
GATA5,GATA5
GATAD2B,GATAD2B
GBA3,GBA3
GBAS,GBAS
GBE1,GBE1
GC,GC
GCDH,GCDH
GCG,GCG
GCNT3,GCNT3
GCOM1,GCOM1
GDE1,GDE1
GDF9,GDF9
GEMIN7,GEMIN7
GEN1,GEN1
GET4,GET4
GFI1B,GFI1B
GFRA1,GFRA1
GGCT,GGCT
GIMAP1,GIMAP1
GIMAP4,GIMAP4
GIMAP7,GIMAP7
GIP,GIP
GIT1,GIT1
GJA10,GJA10
GJB1,GJB1
GJB6,GJB6
GKAP1,GKAP1
GLB1L3,GLB1L3
GLDC,GLDC
GLI3,GLI3
GLRA4,GLRA4
GLT8D2,GLT8D2
GLTSCR2,GLTSCR2
GLUD2,GLUD2
GLUL,GLUL
GLYATL3,GLYATL3
GLYR1,GLYR1
GM2A,GM2A
GMIP,GMIP
GMPPA,GMPPA
GNAI1,GNAI1
GNB1L,GNB1L
GNB3,GNB3
GNG13,GNG13
GNG3,GNG3
GNG5,GNG5
GNG8,GNG8
GNGT2,GNGT2
GNLY,GNLY
GNPAT,GNPAT
GNS,GNS
GOLGA4,GOLGA4
GORASP2,GORASP2
GP2,GP2
GPATCH1,GPATCH1
GPATCH2,GPATCH2
GPBAR1,GPBAR1
GPC5,GPC5
GPCRLTM7,GPCRLTM7
GPI,GPI
GPR108,GPR108
GPR113,GPR113
GPR115,GPR115
GPR12,GPR12
GPR125,GPR125
GPR137,GPR137
GPR141,GPR141
GPR142,GPR142
GPR150,GPR150
GPR153,GPR153
GPR160,GPR160
GPR171,GPR171
GPR174,GPR174
GPR176,GPR176
GPR179,GPR179
GPR182,GPR182
GPR19,GPR19
GPR3,GPR3
GPR50,GPR50
GPR55,GPR55
GPR63,GPR63
GPR68,GPR68
GPR77,GPR77
GPR82,GPR82
GPR84,GPR84
GPR98,GPR98
GPRASP1,GPRASP1
GPS1,GPS1
GPT,GPT
GPX6,GPX6
GRAMD2,GRAMD2
GRAP2,GRAP2
GRB2,GRB2
GREM2,GREM2
GRHL1,GRHL1
GRID2,GRID2
GRIK1,GRIK1
GRIN1,GRIN1
GRM4,GRM4
GRP,GRP
GSDMB,GSDMB
GSDMC,GSDMC
GSK3A,GSK3A
GSPT1,GSPT1
GSTA3,GSTA3
GSTM1,GSTM1
GSTM4,GSTM4
GSTT2B,GSTT2B
GTDC1,GTDC1
GTF2A2,GTF2A2
GTF2H1,GTF2H1
GTF2H2D,GTF2H2D
GTF2H3,GTF2H3
GTF3A,GTF3A
GTF3C1,GTF3C1
GTF3C4,GTF3C4
GTSE1,GTSE1
GUCY1A2,GUCY1A2
GUCY2D,GUCY2D
GYPA,GYPA
H2AFZ,H2AFZ
H2BFWT,H2BFWT
HAO1,HAO1
HAPLN2,HAPLN2
HAPLN4,HAPLN4
HAS2,HAS2
HBE1,HBE1
HBEGF,HBEGF
HBXIP,HBXIP
HCFC1,HCFC1
HCN3,HCN3
HCRTR1,HCRTR1
HDAC5,HDAC5
HEATR2,HEATR2
HELB,HELB
HELQ,HELQ
HEMGN,HEMGN
HEPH,HEPH
HEXB,HEXB
HEXIM1,HEXIM1
HEXIM2,HEXIM2
HEY1,HEY1
HEY2,HEY2
HEYL,HEYL
HGC6.3,HGC6.3
HGFAC,HGFAC
HILPDA,HILPDA
HINFP,HINFP
HIP1,HIP1
HIST1H2AG,HIST1H2AG
HIST1H2AH,HIST1H2AH
HIST1H2BA,HIST1H2BA
HIST1H2BE,HIST1H2BE
HIST1H2BG,HIST1H2BG
HIST1H2BO,HIST1H2BO
HIST1H3A,HIST1H3A
HIST1H3B,HIST1H3B
HIST1H3I,HIST1H3I
HIST1H4C,HIST1H4C
HIST1H4G,HIST1H4G
HIST1H4H,HIST1H4H
HIST2H2AB,HIST2H2AB
HIST4H4,HIST4H4
HLA-DRB4,HLA-DRB4
HMGB2,HMGB2
HMGCL,HMGCL
HMGCS1,HMGCS1
HMMR,HMMR
HMX3,HMX3
HN1,HN1
HNRNPAB,HNRNPAB
HNRNPCL1,HNRNPCL1
HNRNPUL1,HNRNPUL1
HOMEZ,HOMEZ
HOOK1,HOOK1
HOOK2,HOOK2
HOTAIR,HOTAIR
HOXB1,HOXB1
HOXB7,HOXB7
HOXC12,HOXC12
HOXC13,HOXC13
HOXC9,HOXC9
HP07349,HP07349
HP1BP3,HP1BP3
HPR,HPR
HPRT1,HPRT1
HPS6,HPS6
HPX,HPX
HRASLS2,HRASLS2
HRK,HRK
HSD17B13,HSD17B13
HSD17B14,HSD17B14
HSD17B3,HSD17B3
HSD17B8,HSD17B8
HSH2D,HSH2D
HSPB7,HSPB7
HSPBP1,HSPBP1
HSPD1,HSPD1
HTATSF1P2,HTATSF1P2
HTR1E,HTR1E
HTR2A,HTR2A
HTR3A,HTR3A
HTR3E,HTR3E
HTR5A,HTR5A
HUNK,HUNK
HUS1,HUS1
HVCN1,HVCN1
HYAL1,HYAL1
HYAL4,HYAL4
IAPP,IAPP
ICAM5,ICAM5
IDE,IDE
IDH2,IDH2
IDH3B,IDH3B
IDH3G,IDH3G
IFI27L1,IFI27L1
IFI27L2,IFI27L2
IFIT3,IFIT3
IFIT5,IFIT5
IFNA2,IFNA2
IFNA21,IFNA21
IFNA4,IFNA4
IFNAR1,IFNAR1
IFNAR2,IFNAR2
IFNGR1,IFNGR1
IFT140,IFT140
IFT46,IFT46
IFT80,IFT80
IFT88,IFT88
